person_id,label,mean_x,mean_y,std_x,std_y,gaze_entropy,max_distance,avg_distance,avg_speed,total_movement,fixation_count,saccade_count,skew_x,skew_y,kurt_x,kurt_y,gaze_concentration,central_proportion,transition_frequency,silhouette_score,stability_ratio,direction_entropy,gaze_reversion_frequency
person_1,scripted,30.204172876304025,40.320417287630406,6.371464874788701,8.634027638272126,6.954328457631691,32.89376840679705,10.279896870289301,5.552122473907779,3719.9220575182117,477,165,-1.4498171657919499,-0.08519521440354884,0.4181609313366117,5.222036526056931,0.08941877794336811,0.7660208643815202,106,0.8532546090659257,0.7108792846497765,1.693333984316653,5.330188679245283
person_1,spontaneous,33.360874848116644,34.50303766707169,0.8641411148146378,1.3462312926190163,6.510113644303061,22.825424421026653,3.0258538939277764,0.5014966516478901,412.2302476545657,796,3,-3.8109727009750887,3.433110600007543,49.34430591969986,35.522699581272,0.03766707168894289,0.9987849331713244,1,0.4790596611597546,0.9671931956257594,1.161315992993483,822.0
person_10,scripted,28.99057873485868,29.85598923283984,4.436271420016355,5.7278332656442945,7.166516020440078,34.539832078341085,5.720909721966768,2.8596773616256366,2121.8806023262223,535,48,2.7758201538639873,1.0317224289641205,11.259517406926248,17.578740828003973,0.0955585464333782,0.9448183041722745,40,0.8992548904652143,0.7200538358008075,1.870640107959246,17.575
person_10,spontaneous,34.99395405078597,22.00725513905683,4.604841353022487,10.396262393496897,7.02173751056088,41.23105625617661,14.452756672077069,5.515380327480949,4555.704150499264,651,98,-2.8952256644522443,3.2976190898989515,29.286252422353712,9.357191031640077,0.06408706166868199,0.9214026602176542,93,0.9542011322056866,0.7871825876662636,1.785461231745532,7.89247311827957
person_11,scripted,30.737574552683895,22.82306163021869,0.740625127571424,2.2259124478015337,6.827345515860375,14.035668847618199,9.341452999578548,1.4143370677980849,709.9972080346386,398,26,-0.01043142445336443,1.8731232296356628,0.9776941939059673,9.925517758809566,0.08151093439363817,1.0,1,0.5045746626717209,0.7912524850894632,1.935333520567126,502.0
person_11,spontaneous,32.08615384615385,47.02153846153846,1.6344928729018524,15.19044221419732,6.570444941745371,34.0147027033899,16.11562898814726,6.844532105434246,2217.6284021606957,224,77,2.1166866894396277,0.047198736209701976,14.209896038087468,-1.9057538068054733,0.12,0.5292307692307693,3,0.7380681493348401,0.6892307692307692,1.4610412678088636,107.33333333333333
person_12,spontaneous,39.661458333333336,35.44444444444444,6.80038162292318,15.146600836762438,6.956191124633047,41.10960958218893,13.769895185357125,7.893774622483279,4538.920407927885,410,139,1.2553249193413705,1.1722656161267497,0.2604010601662554,-0.5047020204750337,0.1232638888888889,0.7534722222222222,106,0.8823494173378031,0.7118055555555556,1.702922225072583,4.433962264150943
person_13,scripted,38.32020997375328,20.440944881889763,0.7320957679217487,4.822996069898491,7.174648787582524,26.1725046566048,13.91646769972889,2.2300342954700296,1697.0560988526927,555,37,0.0843512249859321,6.391031910542893,3.114185952204182,44.68830124642522,0.06036745406824147,0.963254593175853,1,0.4655877011404244,0.7283464566929134,1.641945491017849,761.0
person_13,spontaneous,41.243654822335024,30.604060913705585,2.844888513765467,5.926900259844783,7.484329391036359,41.773197148410844,10.303728120670087,3.091879476223461,606.0083773397984,124,24,5.130773462340219,4.171918114897994,28.818500513352568,18.319113872124177,0.16243654822335024,0.949238578680203,25,0.6282095332603468,0.6294416243654822,1.6233144033679685,6.88
person_14,scripted,31.637883008356546,20.807799442896936,2.8090659251341155,5.701057963553658,6.9546960037909065,36.40054944640259,12.537050598861658,1.8013680393150309,644.8897580747811,328,11,3.7219384681865937,6.742583171393767,24.19407354785087,44.62123388503072,0.12813370473537605,0.9805013927576601,5,0.5635929158934687,0.9136490250696379,1.5735668110065173,70.8
person_14,spontaneous,31.736486486486488,32.013513513513516,8.47434020989324,8.834830949790764,6.83995340927305,43.840620433565945,7.032795041463961,5.913818680071153,869.3313459704596,123,19,2.9135660629411397,3.179477260121101,7.754185548928348,8.287132797065265,0.20270270270270271,0.9256756756756757,19,0.7118145174763676,0.831081081081081,1.5122416929164941,6.7894736842105265
